"EDA 14 Analyze the distribution of bookings through different booking channels (e.g., online travel agents,
direct bookings) and calculate the percentage of bookings through each channel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribution_channel,distribution_channel_id,market_segment,market_segment_id,meal,required_car_parking_spaces,total_of_special_requests,is_repeated_guest,reserved_room_type,assigned_room_type,is_repeated_guest,avg_lead_time,,distribution_channel,distribution_channel_id,is_repeated_guest,count(*),,is_repeated_guest,guest_count,,meal,required_car_parking_spaces,total_of_special_requests,is_repeated_guest,count(*),,reserved_room_type,assigned_room_type,is_repeated_guest,count(*)
TA/TO,3,Online TA,3,HB,0,1,0,E,E,0,102.462,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,BB,0,0,0,L,C,0,0,,,,,,,,,,,,,,,,,,,
TA/TO,3,Online TA,3,BB,0,2,0,D,F,0,60.4333,,,,,,,,,,,,,,,,,,,
TA/TO,3,Online TA,3,HB,0,0,0,C,C,0,106.5,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,BB,0,2,0,C,C,0,74.5,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,FB,0,0,0,C,C,0,94.8,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,BB,0,1,0,D,E,0,35.4545,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,FB,0,2,0,D,D,0,72.4,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,FB,1,0,0,A,A,0,73.75,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,BB,0,1,0,A,D,0,24.6496,,,,,,,,,,,,,,,,,,,
TA/TO,3,Online TA,3,HB,0,1,0,C,C,0,81.1277,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,BB,0,0,0,C,C,0,57.4643,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,BB,0,0,0,A,I,0,81,,,,,,,,,,,,,,,,,,,
TA/TO,3,Online TA,3,BB,0,1,0,A,I,0,49.1538,,,,,,,,,,,,,,,,,,,
TA/TO,3,Online TA,3,BB,0,3,0,A,C,0,99.2667,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,HB,1,0,0,A,A,0,62.8333,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,HB,0,0,0,A,D,0,26.9167,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,BB,0,1,0,E,E,0,138.2589,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,FB,0,0,0,F,F,0,40.3333,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,FB,0,0,0,A,A,0,104.9556,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,FB,0,1,0,F,F,0,28,,,,,,,,,,,,,,,,,,,
TA/TO,3,Offline TA/TO,4,FB,0,0,0,D,D,0,101.4737,,,,,,,,,,,,,,,,,,,
Corporate,2,Corporate,2,BB,0,0,0,A,F,0,15.0385,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,BB,1,0,0,G,G,0,49.0159,,,,,,,,,,,,,,,,,,,
Direct,1,Direct,1,BB,1,1,0,A,D,0,40.3333,,,,,,,,,,,,,,,,,,,
